,School Name,City,Full Address,Zipcode,Phone Number,Distrct,MO Raniking,National Ranking,School page link (US News))
26,Francis Howell High,"St Charles, MO","7001 Hwy 94 South, St Charles, Missouri 63304",63304,(636) 851-4700,Francis Howell R-III,27,"2,248",https://www.usnews.com//education/best-high-schools/missouri/districts/francis-howell-r-iii/francis-howell-high-11929
27,Blue Springs South High,"Blue Springs, MO","1200 Se Adams Dairy Pkwy, Blue Springs, Missouri 64014",64014,(816) 874-3500,Blue Springs R-Iv,28,"2,275",https://www.usnews.com//education/best-high-schools/missouri/districts/blue-springs-r-iv/blue-springs-south-high-11515
28,Excelsior Springs High,"Excelsior Springs, MO","612 Tiger Dr, Excelsior Springs, Missouri 64024",64024,(816) 630-9210,Excelsior Springs 40,29,"2,438",https://www.usnews.com//education/best-high-schools/missouri/districts/excelsior-springs-40/excelsior-springs-high-11608
29,Smith-Cotton High School,"Sedalia, MO","2010 Tiger Pride Boulevard, Sedalia, Missouri 65301",65301,(660) 851-5300,Sedalia 200,30,"2,481",https://www.usnews.com//education/best-high-schools/missouri/districts/sedalia-200/smith-cotton-high-school-11898
30,Central High,"Springfield, MO","423 E Central, Springfield, Missouri 65802",65802,(417) 523-9600,Springfield R-Xii,31,"2,495",https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/central-high-11922
31,Rock Bridge Sr. High,"Columbia, MO","4303 S Providence Rd, Columbia, Missouri 65203",65203,(573) 214-3100,Columbia 93,32,"2,532",https://www.usnews.com//education/best-high-schools/missouri/districts/columbia-93/rock-bridge-sr-high-11482
32,Oakville Sr. High,"St Louis, MO","5557 Milburn Rd, St Louis, Missouri 63129",63129,(314) 467-7000,Mehlville R-Ix,33,"2,621",https://www.usnews.com//education/best-high-schools/missouri/districts/mehlville-r-ix/oakville-sr-high-11765
33,Caruthersville High,"Caruthersville, MO","1708 Ward Ave, Caruthersville, Missouri 63830",63830,(573) 333-6110,Caruthersville 18,34,"2,680",https://www.usnews.com//education/best-high-schools/missouri/districts/caruthersville-18/caruthersville-high-11551
34,Kirkwood Sr. High,"Kirkwood, MO","801 W Essex Ave, Kirkwood, Missouri 63122",63122,(314) 213-6110,Kirkwood R-Vii,35,"2,736",https://www.usnews.com//education/best-high-schools/missouri/districts/kirkwood-r-vii/kirkwood-sr-high-11713
35,Pattonville Sr. High,"Maryland Heights, MO","2497 Creve Coeur Mill Rd, Maryland Heights, Missouri 63043",63043,(314) 213-8051,Pattonville R-III,36,"2,783",https://www.usnews.com//education/best-high-schools/missouri/districts/pattonville-r-iii/pattonville-sr-high-11838
36,Timberland High,"Wentzville, MO","559 E Hwy N, Wentzville, Missouri 63385",63385,(636) 327-3988,Wentzville R-Iv,37,"3,140",https://www.usnews.com//education/best-high-schools/missouri/districts/wentzville-r-iv/timberland-high-12001
37,Grain Valley High,"Grain Valley, MO","551 Sw Eagles Pkwy, Grain Valley, Missouri 64029",64029,(816) 847-5000,Grain Valley R-V,38,"3,173",https://www.usnews.com//education/best-high-schools/missouri/districts/grain-valley-r-v/grain-valley-high-11636
38,Park Hill High,"Kansas City, MO","7701 Nw Barry Rd, Kansas City, Missouri 64153",64153,(816) 359-4110,Park Hill,39,"3,177",https://www.usnews.com//education/best-high-schools/missouri/districts/park-hill/park-hill-high-11829
39,Lee's Summit North High,"Lee's Summit, MO","901 Ne Douglas St, Lee's Summit, Missouri 64086",64086,(816) 986-3000,Lee's Summit R-Vii,40,"3,207",https://www.usnews.com//education/best-high-schools/missouri/districts/lees-summit-r-vii/lee-s-summit-north-high-11726
40,Lee's Summit Sr. High,"Lee's Summit, MO","400 Se Blue Pkwy, Lee's Summit, Missouri 64063",64063,(816) 986-2000,Lee's Summit R-Vii,41,"3,315",https://www.usnews.com//education/best-high-schools/missouri/districts/lees-summit-r-vii/lee-s-summit-sr-high-11725
41,Liberty High,"Liberty, MO","200 Bluejay Dr, Liberty, Missouri 64068",64068,(816) 736-5340,Liberty 53,42,"3,332",https://www.usnews.com//education/best-high-schools/missouri/districts/liberty-53/liberty-high-11735
42,Kirksville Sr. High,"Kirksville, MO","1300 S Cottage Grove, Kirksville, Missouri 63501",63501,(660) 665-4631,Kirksville R-III,43,"3,359",https://www.usnews.com//education/best-high-schools/missouri/districts/kirksville-r-iii/kirksville-sr-high-11712
43,Liberty North High School,"Liberty, MO","1000 N.e. 104th Street, Liberty, Missouri 64068",64068,(816) 736-5500,Liberty 53,44,"3,465",https://www.usnews.com//education/best-high-schools/missouri/districts/liberty-53/liberty-north-high-school-92070
44,North High,"St Louis, MO","12860 Fee Fee Rd, St Louis, Missouri 63146",63146,(314) 415-7600,Parkway C-2,45,"3,471",https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/north-high-11833
45,North Kansas City High,"Kansas City, MO","620 E 23rd Ave, Kansas City, Missouri 64116",64116,(816) 321-5310,North Kansas City 74,46,"3,572",https://www.usnews.com//education/best-high-schools/missouri/districts/north-kansas-city-74/north-kansas-city-high-11803
46,Central High,"St Joseph, MO","2602 Edmond, St Joseph, Missouri 64501",64501,(816) 671-4080,St. Joseph,47,"3,645",https://www.usnews.com//education/best-high-schools/missouri/districts/st-joseph/central-high-11888
47,Kearney High,"Kearney, MO","715 E 19th St, Kearney, Missouri 64060",64060,(816) 628-4585,Kearney R-I,48,"3,802",https://www.usnews.com//education/best-high-schools/missouri/districts/kearney-r-i/kearney-high-11706
48,Emil E. Holt Sr. High,"Wentzville, MO","600 Campus Dr, Wentzville, Missouri 63385",63385,(636) 327-3876,Wentzville R-Iv,49,"3,848",https://www.usnews.com//education/best-high-schools/missouri/districts/wentzville-r-iv/emil-e-holt-sr-high-12000
49,Platte County High,"Platte City, MO","1501 Branch St, Platte City, Missouri 64079",64079,(816) 858-2822,Platte Co. R-III,50,"3,879",https://www.usnews.com//education/best-high-schools/missouri/districts/platte-co-r-iii/platte-county-high-11847
50,Ozark High,"Ozark, MO","1350 W Bluff Dr, Ozark, Missouri 65721",65721,(417) 582-5901,Ozark R-Vi,51,"3,951",https://www.usnews.com//education/best-high-schools/missouri/districts/ozark-r-vi/ozark-high-11825
51,Northwest High,"Cedar Hill, MO","6005 Cedar Hill Rd, Cedar Hill, Missouri 63016",63016,(636) 274-0555,Northwest R-I,52,"3,954",https://www.usnews.com//education/best-high-schools/missouri/districts/northwest-r-i/northwest-high-11809
52,Oak Park High,"Kansas City, MO","825 Ne 79th Terr, Kansas City, Missouri 64118",64118,(816) 321-5320,North Kansas City 74,53,"4,177",https://www.usnews.com//education/best-high-schools/missouri/districts/north-kansas-city-74/oak-park-high-11804
53,Francis Howell North High,"St Charles, MO","2549 Hackmann Rd, St Charles, Missouri 63303",63303,(636) 851-4900,Francis Howell R-III,54,"4,251",https://www.usnews.com//education/best-high-schools/missouri/districts/francis-howell-r-iii/francis-howell-north-high-11931
54,David H. Hickman High,"Columbia, MO","1104 N Providence Rd, Columbia, Missouri 65203",65203,(573) 214-3000,Columbia 93,55,"4,360",https://www.usnews.com//education/best-high-schools/missouri/districts/columbia-93/david-h-hickman-high-11483
55,Central High,"Cape Girardeau, MO","1000 S Silver Springs Rd, Cape Girardeau, Missouri 63703",63703,(573) 335-8228,Cape Girardeau 63,56,"4,410",https://www.usnews.com//education/best-high-schools/missouri/districts/cape-girardeau-63/central-high-11547
56,Gateway Science Academy High,"St. Louis, MO","5049 Fyler Avenue, St. Louis, Missouri 63139",63139,(314) 261-4361,Gateway Science Acad/St Louis,57,"4,591",https://www.usnews.com//education/best-high-schools/missouri/districts/gateway-science-acadst-louis/gateway-science-academy-high-154670
57,Waynesville Sr. High,"Waynesville, MO","200 G W Ln, Waynesville, Missouri 65583",65583,(573) 842-2400,Waynesville R-Vi,58,"4,709",https://www.usnews.com//education/best-high-schools/missouri/districts/waynesville-r-vi/waynesville-sr-high-11993
58,West Platte High,"Weston, MO","935 Washington St, Weston, Missouri 64098",64098,(816) 640-2292,West Platte Co. R-II,59,"4,735",https://www.usnews.com//education/best-high-schools/missouri/districts/west-platte-co-r-ii/west-platte-high-12003
59,Park Hill South High,"Riverside, MO","4500 Nw River Park Dr, Riverside, Missouri 64150",64150,(816) 359-4120,Park Hill,60,"4,857",https://www.usnews.com//education/best-high-schools/missouri/districts/park-hill/park-hill-south-high-11830
60,Fordland High,"Fordland, MO","1248 School St, Fordland, Missouri 65652",65652,(417) 767-4555,Fordland R-III,61,"4,875",https://www.usnews.com//education/best-high-schools/missouri/districts/fordland-r-iii/fordland-high-11620
61,Scotland Co. High,"Memphis, MO","606 West Lovers Lane, Memphis, Missouri 63555",63555,(660) 465-8901,Scotland Co. R-I,62,"4,922",https://www.usnews.com//education/best-high-schools/missouri/districts/scotland-co-r-i/scotland-co-high-11766
62,Winnetonka High,"Kansas City, MO","5815 Ne 48th St, Kansas City, Missouri 64119",64119,(816) 321-5340,North Kansas City 74,63,"5,025",https://www.usnews.com//education/best-high-schools/missouri/districts/north-kansas-city-74/winnetonka-high-11805
63,William Chrisman High,"Independence, MO","1223 N Noland Rd, Independence, Missouri 64050",64050,(816) 521-5355,Independence 30,64,"5,084",https://www.usnews.com//education/best-high-schools/missouri/districts/independence-30/william-chrisman-high-11678
64,Van Horn High,"Independnce, MO","1109 S Arlington Ave, Independnce, Missouri 64053",64053,(816) 521-5360,Independence 30,65,"5,234",https://www.usnews.com//education/best-high-schools/missouri/districts/independence-30/van-horn-high-11681
65,Frontier STEM High School,"Kansas City, MO","6455 E Commerce Ave., Kansas City, Missouri 64120",64120,(816) 241-6202,Frontier School Of Innovation,66,"5,250",https://www.usnews.com//education/best-high-schools/missouri/districts/frontier-school-of-innovation/frontier-stem-high-school-147495
66,Aurora High,"Aurora, MO","305 W Prospect St, Aurora, Missouri 65605",65605,(417) 678-3355,Aurora R-Viii,67,"5,286",https://www.usnews.com//education/best-high-schools/missouri/districts/aurora-r-viii/aurora-high-11499
67,Center Sr. High,"Kansas City, MO","8715 Holmes, Kansas City, Missouri 64131",64131,(816) 349-3330,Center 58,68,"5,368",https://www.usnews.com//education/best-high-schools/missouri/districts/center-58/center-sr-high-11553
68,St. Charles High,"St Charles, MO","725 N Kingshighway St, St Charles, Missouri 63301",63301,(636) 443-4100,St. Charles R-Vi,69,"5,427",https://www.usnews.com//education/best-high-schools/missouri/districts/st-charles-r-vi/st-charles-high-11927
69,Boonville High,"Boonville, MO","1 Pirate Drive, Boonville, Missouri 65233",65233,(660) 882-7426,Boonville R-I,70,"5,471",https://www.usnews.com//education/best-high-schools/missouri/districts/boonville-r-i/boonville-high-11519
70,Cuba High,"Cuba, MO","1 Wildcat Pride Dr, Cuba, Missouri 65453",65453,(573) 885-2534,Crawford Co. R-II,71,"5,476",https://www.usnews.com//education/best-high-schools/missouri/districts/crawford-co-r-ii/cuba-high-11586
71,Maryville High,"Maryville, MO","1503 S Munn Ave, Maryville, Missouri 64468",64468,(660) 562-3511,Maryville R-II,72,"5,512",https://www.usnews.com//education/best-high-schools/missouri/districts/maryville-r-ii/maryville-high-11760
72,Belton High,"Belton, MO","801 W. North Avenue, Belton, Missouri 64012",64012,(816) 489-7500,Belton 124,73,"5,581",https://www.usnews.com//education/best-high-schools/missouri/districts/belton-124/belton-high-11505
73,Neosho High,"Neosho, MO","511 Neosho Blvd, Neosho, Missouri 64850",64850,(417) 451-8670,Neosho R-V,74,"5,674",https://www.usnews.com//education/best-high-schools/missouri/districts/neosho-r-v/neosho-high-11786
74,Jackson Sr. High,"Jackson, MO","315 S Missouri, Jackson, Missouri 63755",63755,(573) 243-9513,Jackson R-II,75,"5,797",https://www.usnews.com//education/best-high-schools/missouri/districts/jackson-r-ii/jackson-sr-high-11684
75,Washington High,"Washington, MO","600 Blue Jay Dr, Washington, Missouri 63090",63090,(636) 231-2200,Washington,76,"6,114",https://www.usnews.com//education/best-high-schools/missouri/districts/washington/washington-high-11991
76,Raymore-Peculiar Sr. High,"Peculiar, MO","20801 School Rd, Peculiar, Missouri 64078",64078,(816) 892-1400,Raymore-Peculiar R-II,77,"6,200",https://www.usnews.com//education/best-high-schools/missouri/districts/raymore-peculiar-r-ii/raymore-peculiar-sr-high-11839
77,Palmyra High,"Palmyra, MO","1703 S Main St, Palmyra, Missouri 63461",63461,(573) 769-2067,Palmyra R-I,78,"6,211",https://www.usnews.com//education/best-high-schools/missouri/districts/palmyra-r-i/palmyra-high-11827
78,Osage High,"Osage Beach, MO","636 Hwy 42, Osage Beach, Missouri 65065",65065,(573) 348-0115,School Of The Osage,79,"6,213",https://www.usnews.com//education/best-high-schools/missouri/districts/school-of-the-osage/osage-high-11896
79,Mehlville High School,"St Louis, MO","3200 Lemay Ferry Rd, St Louis, Missouri 63125",63125,(314) 467-6000,Mehlville R-Ix,80,"6,257",https://www.usnews.com//education/best-high-schools/missouri/districts/mehlville-r-ix/mehlville-high-school-11764
80,Poplar Bluff High,"Poplar Bluff, MO","3209 Oak Grove Road, Poplar Bluff, Missouri 63901",63901,(573) 785-6471,Poplar Bluff R-I,81,"6,292",https://www.usnews.com//education/best-high-schools/missouri/districts/poplar-bluff-r-i/poplar-bluff-high-11853
81,Branson High,"Branson, MO","935 Buchanan Rd, Branson, Missouri 65616",65616,(417) 334-6511,Branson R-Iv,82,"6,378",https://www.usnews.com//education/best-high-schools/missouri/districts/branson-r-iv/branson-high-11525
82,Bolivar High,"Bolivar, MO","1401 N Hwy D, Bolivar, Missouri 65613",65613,(417) 326-5228,Bolivar R-I,83,"6,430",https://www.usnews.com//education/best-high-schools/missouri/districts/bolivar-r-i/bolivar-high-11517
83,Hancock Sr. High,"St Louis, MO","229 W Ripa Ave, St Louis, Missouri 63125",63125,(314) 544-1200,Hancock Place,84,"6,533",https://www.usnews.com//education/best-high-schools/missouri/districts/hancock-place/hancock-sr-high-11647
84,Fox Sr. High,"Arnold, MO","751 Jeffco Blvd, Arnold, Missouri 63010",63010,(636) 296-5210,Fox C-6,85,"6,591",https://www.usnews.com//education/best-high-schools/missouri/districts/fox-c-6/fox-sr-high-11624
85,University Academy-Upper,"Kansas City, MO","6801 Holmes Rd, Kansas City, Missouri 64131",64131,(816) 412-5902,University Academy,86,"6,795",https://www.usnews.com//education/best-high-schools/missouri/districts/university-academy/university-academy-upper-11472
86,Thayer Sr. High,"Thayer, MO","401 E Walnut St, Thayer, Missouri 65791",65791,(417) 264-4600,Thayer R-II,87,"7,092",https://www.usnews.com//education/best-high-schools/missouri/districts/thayer-r-ii/thayer-sr-high-11966
87,Lafayette High,"St Joseph, MO","412 Highland Ave, St Joseph, Missouri 64505",64505,(816) 671-4220,St. Joseph,88,"7,206",https://www.usnews.com//education/best-high-schools/missouri/districts/st-joseph/lafayette-high-11889
88,Savannah High,"Savannah, MO","701 State Rte E, Savannah, Missouri 64485",64485,(816) 324-3128,Savannah R-III,89,"7,398",https://www.usnews.com//education/best-high-schools/missouri/districts/savannah-r-iii/savannah-high-11894
89,Warrenton High,"Warrenton, MO","803 Pinckney, Warrenton, Missouri 63383",63383,(636) 456-6902,Warren Co. R-III,90,"7,414",https://www.usnews.com//education/best-high-schools/missouri/districts/warren-co-r-iii/warrenton-high-11989
90,Sherwood High,"Creighton, MO","33300 S Sherwood Dr, Creighton, Missouri 64739",64739,(660) 499-2239,Sherwood Cass R-Viii,91,"7,470",https://www.usnews.com//education/best-high-schools/missouri/districts/sherwood-cass-r-viii/sherwood-high-11583
91,Republic High,"Republic, MO","4370 S. Repmo Drive, Republic, Missouri 65738",65738,(417) 732-3650,Republic R-III,92,"7,485",https://www.usnews.com//education/best-high-schools/missouri/districts/republic-r-iii/republic-high-11864
92,Monett High,"Monett, MO","One David Sippy Dr, Monett, Missouri 65708",65708,(417) 235-5445,Monett R-I,93,"7,538",https://www.usnews.com//education/best-high-schools/missouri/districts/monett-r-i/monett-high-11773
93,South Pemiscot High,"Steele, MO","611 Beasley Rd, Steele, Missouri 63877",63877,(573) 695-3342,South Pemiscot Co. R-V,94,"7,630",https://www.usnews.com//education/best-high-schools/missouri/districts/south-pemiscot-co-r-v/south-pemiscot-high-11914
94,Bayless Sr. High,"St Louis, MO","4532 Weber Rd, St Louis, Missouri 63123",63123,(314) 256-8660,Bayless,95,"7,642",https://www.usnews.com//education/best-high-schools/missouri/districts/bayless/bayless-sr-high-11503
95,Milan High,"Milan, MO","373 S Market St, Milan, Missouri 63556",63556,(660) 265-1412,Milan C-2,96,"7,655",https://www.usnews.com//education/best-high-schools/missouri/districts/milan-c-2/milan-high-11770
96,Seckman Sr. High,"Imperial, MO","2800 Seckman Rd, Imperial, Missouri 63052",63052,(636) 282-1485,Fox C-6,97,"7,718",https://www.usnews.com//education/best-high-schools/missouri/districts/fox-c-6/seckman-sr-high-11625
97,McKinley Classical Leadership Academy,"St Louis, MO","2156 Russell Blvd, St Louis, Missouri 63104",63104,(314) 773-0027,St. Louis Public Schools,98,"7,820",https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/mckinley-classical-leadership-academy-11950
98,East Prairie High,"East Prairie, MO","304 E Walnut, East Prairie, Missouri 63845",63845,(573) 649-3564,East Prairie R-II,99,"7,844",https://www.usnews.com//education/best-high-schools/missouri/districts/east-prairie-r-ii/east-prairie-high-11599
99,Oak Grove High,"Oak Grove, MO","605 Se 12th, Oak Grove, Missouri 64075",64075,(816) 690-4152,Oak Grove R-Vi,100,"7,900",https://www.usnews.com//education/best-high-schools/missouri/districts/oak-grove-r-vi/oak-grove-high-11813
100,South Iron High,"Annapolis, MO","210 School St, Annapolis, Missouri 63620",63620,(573) 598-4241,South Iron Co. R-I,101,"7,907",https://www.usnews.com//education/best-high-schools/missouri/districts/south-iron-co-r-i/south-iron-high-11912
101,Carthage High School,"Carthage, MO","2600 South River, Carthage, Missouri 64836",64836,(417) 359-7020,Carthage R-Ix,102,"7,911",https://www.usnews.com//education/best-high-schools/missouri/districts/carthage-r-ix/carthage-high-school-11550
102,Glendale High,"Springfield, MO","2727 S Ingram Mill, Springfield, Missouri 65804",65804,(417) 523-8900,Springfield R-Xii,103,"7,924",https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/glendale-high-11923
103,Webb City High,"Webb City, MO","621 N Madison, Webb City, Missouri 64870",64870,(417) 673-6010,Webb City R-Vii,104,"8,019",https://www.usnews.com//education/best-high-schools/missouri/districts/webb-city-r-vii/webb-city-high-11995
104,Herculaneum High,"Herculaneum, MO","1 Blackcat Dr, Herculaneum, Missouri 63048",63048,(636) 479-5200,Dunklin R-V,105,"8,051",https://www.usnews.com//education/best-high-schools/missouri/districts/dunklin-r-v/herculaneum-high-11657
105,Camdenton High,"Camdenton, MO","119 Service Rd, Camdenton, Missouri 65020",65020,(573) 346-9232,Camdenton R-III,106,"8,159",https://www.usnews.com//education/best-high-schools/missouri/districts/camdenton-r-iii/camdenton-high-11543
106,Lexington High,"Lexington, MO","2309 Aull Ln, Lexington, Missouri 64067",64067,(660) 259-4391,Lexington R-V,107,"8,221",https://www.usnews.com//education/best-high-schools/missouri/districts/lexington-r-v/lexington-high-11732
107,Hallsville High,"Hallsville, MO","421 Hwy 124 E, Hallsville, Missouri 65255",65255,(573) 696-5512,Hallsville R-Iv,108,"8,279",https://www.usnews.com//education/best-high-schools/missouri/districts/hallsville-r-iv/hallsville-high-11645
108,Lawson High,"Lawson, MO","600 Bob Gill Dr, Lawson, Missouri 64062",64062,(816) 580-7270,Lawson R-Xiv,109,"8,285",https://www.usnews.com//education/best-high-schools/missouri/districts/lawson-r-xiv/lawson-high-11722
109,Rolla Sr. High,"Rolla, MO","900 Bulldog Run, Rolla, Missouri 65401",65401,(573) 458-0140,Rolla 31,110,"8,714",https://www.usnews.com//education/best-high-schools/missouri/districts/rolla-31/rolla-sr-high-11885
110,Ruskin High School,"Kansas City, MO","7000 E 111th Street, Kansas City, Missouri 64134",64134,(816) 316-7400,Hickman Mills C-1,111,"8,724",https://www.usnews.com//education/best-high-schools/missouri/districts/hickman-mills-c-1/ruskin-high-school-11662
111,Raytown Sr. High,"Raytown, MO","6019 Blue Ridge Blvd, Raytown, Missouri 64133",64133,(816) 268-7300,Raytown C-2,112,"8,996",https://www.usnews.com//education/best-high-schools/missouri/districts/raytown-c-2/raytown-sr-high-11861
112,Lebanon Sr. High,"Lebanon, MO","777 Brice St, Lebanon, Missouri 65536",65536,(417) 532-9144,Lebanon R-III,113,"9,047",https://www.usnews.com//education/best-high-schools/missouri/districts/lebanon-r-iii/lebanon-sr-high-11724
113,Winona High,"Winona, MO","Hwy 19, Winona, Missouri 65588",65588,(573) 325-8101,Winona R-III,114,"9,063",https://www.usnews.com//education/best-high-schools/missouri/districts/winona-r-iii/winona-high-12014
114,Clopton High,"Clarksville, MO","28176 Hwy Ww, Clarksville, Missouri 63336",63336,(573) 242-3546,Pike Co. R-III,115,"9,215",https://www.usnews.com//education/best-high-schools/missouri/districts/pike-co-r-iii/clopton-high-11844
115,Cameron High,"Cameron, MO","1022 S Chestnut, Cameron, Missouri 64429",64429,(816) 882-1036,Cameron R-I,116,"9,334",https://www.usnews.com//education/best-high-schools/missouri/districts/cameron-r-i/cameron-high-11544
116,Macks Creek High,"Macks Creek, MO","245 State Rd N, Macks Creek, Missouri 65786",65786,(573) 363-5911,Macks Creek R-V,117,"9,425",https://www.usnews.com//education/best-high-schools/missouri/districts/macks-creek-r-v/macks-creek-high-11746
